Agassiz,736669.75
Ahern,511589.79
Baby,75562.60
Blackfoot,1498505.92
Boulder,35298.01
Carter,224773.89
Chaney,334484.90
Dixon,125831.13
Gem,22156.68
Grinnell,563720.29
Harris,34260.89
Harrison,1661456.75
Herbst,31886.02
Hudson,52167.62
Ipasha,194738.75
Jackson,756864.10
Kintla,877726.05
Logan,219016.92
Lupfer,73274.68
MicheWabun,103616.92
North Swiftcurrent,86305.30
Old Sun,341077.95
Piegan,244307.08
Pumpelly,902787.30
Rainbow,1053376.03
Red Eagle,63685.24
Salamander,176108.77
Sexton,298681.73
Shepard,70739.49
Siyeh,205386.48
Sperry,801670.14
Swiftcurrent,170348.10
Thunderbird,107012.09
Two Ocean,75172.89
Vulture,296786.09
Weasel Collar,499734.76
Whitecrow,103824.86
