Agassiz,1174485.68
Ahern,516658.66
Baby,80880.38
Blackfoot,1625124.38
Boulder,48774.13
Carter,269013.88
Chaney,430372.02
Dixon,166983.60
Gem,23756.51
Grinnell,715907.79
Harris,40263.73
Harrison,1846232.52
Herbst,50794.78
Hudson,55762.11
Ipasha,228254.45
Jackson,811857.45
Kintla,972884.73
Logan,387547.07
Lupfer,66661.16
MicheWabun,111127.26
North Swiftcurrent,84546.10
Old Sun,349137.54
Piegan,265084.78
Pumpelly,910631.86
Rainbow,1120814.92
Red Eagle,77923.58
Salamander,181688.65
Sexton,324011.87
Shepard,91584.19
Siyeh,214597.44
Sperry,953104.43
Swiftcurrent,188681.39
Thunderbird,121885.69
Two Ocean,193677.91
Vulture,336924.77
Weasel Collar,507418.42
Whitecrow,124759.84
