STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/10/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/11/2015,,,,,0.8,",,N",,,,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/12/2015,,,,,1.3,",,N",,,,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/13/2015,,,,,5.1,",,N",,,,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/14/2015,,,,,3.3,",,N",,,,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/15/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/16/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/17/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/18/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/19/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/20/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/21/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/22/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/23/2015,,,,,1.3,",,N",,,,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/24/2015,,,,,0,"T,,N",,,,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/25/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/26/2015,,,,,0,"T,,N",,,,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/27/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/28/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/29/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/30/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,5/31/2015,,,,,0,"T,,N",,,,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,6/1/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,6/2/2015,,,,,4.1,",,N",,,,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,6/3/2015,,,,,0.5,",,N",,,,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,6/4/2015,,,,,0,"T,,N",,,,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,6/5/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,6/6/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,6/9/2015,,,,,0,",,N",0,",,N",,,,,,,,
US1WATH0040,"OLYMPIA 8.5 WSW, WA US",46.9785,-123.0473,186.8,6/10/2015,,,,,0,",,N",0,",,N",,,,,,,,
